name,date_of_birth,time_of_birth,latitude,longitude,tz_offset,rodden_rating,categories,source_url
Al Jarreau,1940-03-12,01:20:00,43.041000,-87.909000,-6.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlJarreau1940
Al Lakeman,1918-12-31,23:45:00,39.104000,-84.514000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlLakeman1918
Al Nelson,1943-10-27,06:20:00,39.104000,-84.514000,-4.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlNelson1943
Al Oliver,1946-10-14,11:38:00,38.740000,-82.985000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlOliver1946
Al Pacino,1940-04-25,11:02:00,40.713000,-74.007000,-5.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlPacino1940
Al Parker,1952-06-25,15:13:00,42.284000,-71.347000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlParker1952
Al Unser,1939-05-29,08:10:00,35.084000,-106.649000,-7.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlUnser1939
Al Widmar,1925-03-20,19:30:00,41.505000,-81.691000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlWidmar1925
Alain,1868-03-03,15:00:00,48.521000,0.547000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#Alain1868
Alain,1886-10-03,05:00:00,47.363000,2.434000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#Alain1886
Alain,1994-03-18,14:17:00,47.693000,2.633000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#Alain1994
Alain,2000-01-01,00:00:00,4.590000,101.000000,8.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#Alain2000
Alain Bailhache,1937-11-27,12:00:00,46.169000,1.869000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainBailhache1937
Alain Baran,1951-02-04,15:20:00,50.846000,4.356000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainBaran1951
Alain Bashung,1947-12-01,09:55:00,48.857000,2.351000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainBashung1947
Alain Besancon,1932-04-25,20:30:00,48.857000,2.351000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainBesancon1932
Alain Binard,1947-10-07,01:30:00,49.638000,-1.624000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainBinard1947
Alain Blondel,1962-12-07,18:55:00,49.430000,1.053000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainBlondel1962
Alain Bougrain,1948-08-17,15:35:00,48.857000,2.351000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainBougrain1948
Alain Boullet,1946-08-21,03:45:00,48.974000,2.347000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainBoullet1946
Alain Béjart,1946-05-18,03:45:00,43.295000,5.374000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainBéjart1946
Alain Carpentier,1933-08-11,00:15:00,43.604000,1.445000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainCarpentier1933
Alain Chabat,1958-11-24,01:30:00,35.699000,-0.632000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainChabat1958
Alain Chamfort,1949-03-02,12:15:00,48.857000,2.351000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainChamfort1949
Alain Chapel,1937-12-30,15:50:00,45.767000,4.834000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainChapel1937
Alain Corneau,1943-08-07,02:15:00,47.901000,1.904000,2.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainCorneau1943
Alain Cuny,1908-07-12,12:00:00,48.648000,-2.026000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainCuny1908
Alain Decaux,1925-07-23,02:15:00,50.631000,3.063000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainDecaux1925
Alain Delon,1935-11-08,03:25:00,48.779000,2.291000,0.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainDelon1935
Alain Ducasse,1956-09-13,15:00:00,43.488000,-0.773000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainDucasse1956
Alain Escada,1970-05-16,11:15:00,50.846000,4.356000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainEscada1970
Alain Feutrier,1968-02-16,02:10:00,45.277000,6.345000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainFeutrier1968
Alain Feydeau,1934-07-21,15:45:00,48.834000,2.243000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainFeydeau1934
Alain Finkielkraut,1949-06-30,01:15:00,48.857000,2.351000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainFinkielkraut1949
Alain François Savary,1918-04-25,00:30:00,36.772000,3.052000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainFrançoisSavary1918
Alain Garcia,1942-05-04,12:00:00,36.644000,2.691000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainGarcia1942
Alain Geismar,1939-07-17,20:20:00,48.857000,2.351000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainGeismar1939
Alain Giletti,1939-09-11,07:45:00,46.205000,5.226000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainGiletti1939
Alain Gillot,1950-06-16,17:00:00,48.802000,2.130000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainGillot1950
Alain Girard,1914-03-13,11:30:00,48.857000,2.351000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainGirard1914
Alain Giresse,1952-08-02,14:00:00,44.709000,-0.401000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainGiresse1952
Alain Goffin,1956-08-15,01:35:00,50.828000,4.372000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainGoffin1956
Alain Hadès,1931-11-06,16:20:00,48.899000,2.094000,0.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainHadès1931
Alain Jean Assailly,2000-01-01,00:00:00,4.590000,101.000000,8.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainJeanAssailly2000
