rank,feature,mean_abs_shap
387,t_d3_mars_sign,0.006298
388,house_jupiter,0.006254
389,kantaka_shani,0.006232
390,aspect_orb_venus_mars,0.006221
391,t_aspect_orb_saturn_ketu,0.006184
392,t_house_from_sun_saturn,0.006142
393,t_d10_saturn_sign,0.006036
394,t_house_sun,0.006028
395,house_from_moon_sun,0.006025
396,t_d12_mercury_sign,0.006006
397,vel_rahu,0.006001
398,t_lon_saturn,0.005982
399,aspect_orb_venus_jupiter,0.005967
400,house_mars,0.005894
401,t_drishti_jupiter_rahu,0.005870
402,t_nak_rahu,0.005839
403,t_d9_sun_deg,0.005830
404,dist_mars_jupiter,0.005803
405,t_sav_house_6,0.005787
406,t_d3_venus_sign,0.005754
407,first_saturn_antardasha_after_16,0.005732
408,aspect_orb_jupiter_moon,0.005730
409,d30_sun_sign,0.005709
410,sav_house_3,0.005692
411,sav_house_4,0.005686
412,vel_venus,0.005662
413,acc_jupiter,0.005647
414,t_dist_saturn_ketu,0.005632
415,t_aspect_orb_moon_venus,0.005608
416,t_d30_jupiter_sign,0.005566
417,dist_sun_jupiter,0.005561
418,d30_saturn_sign,0.005536
419,t_nak_pos_ketu,0.005529
420,t_house_saturn,0.005474
421,dasha_start_age_saturn,0.005468
422,t_house_from_sun_ketu,0.005463
423,t_aspect_orb_venus_mars,0.005463
424,aspect_orb_saturn_ketu,0.005458
425,sav_house_12,0.005444
426,t_aspect_orb_mercury_rahu,0.005360
427,t_combust_mars,0.005316
428,t_drishti_rahu_moon,0.005312
429,t_dispositor_moon,0.005275
430,t_nak_pos_rahu,0.005260
431,t_jerk_saturn,0.005246
432,d12_mars_sign,0.005240
433,drishti_ketu_sun,0.005231
434,t_d24_mars_sign,0.005230
435,d10_rahu_sign,0.005174
436,t_aspect_orb_ketu_sun,0.005163
437,t_d12_jupiter_deg,0.005087
438,d2_venus_sign,0.005069
439,t_aspect_orb_rahu_mars,0.005066
440,d7_ketu_sign,0.005066
441,t_acc_sun,0.005059
442,house_pos_venus,0.005047
443,dist_mercury_venus,0.005046
444,t_drishti_jupiter_saturn,0.005042
445,t_house_pos_sun,0.005028
446,t_dist_mars_venus,0.005024
447,t_sav_house_11,0.005022
448,t_nak_pos_mars,0.004987
449,acc_sun,0.004981
450,t_vel_saturn,0.004971
451,bav_in_sign_mercury,0.004969
452,t_dist_moon_saturn,0.004963
453,t_d9_venus_deg,0.004957
454,t_d30_mercury_sign,0.004849
455,final_dispositor,0.004846
456,nak_pos_saturn,0.004844
457,t_dist_mercury_rahu,0.004837
458,lon_mars,0.004826
459,t_d30_venus_sign,0.004791
460,lat_mars,0.004772
461,t_sav_house_9,0.004766
462,aspect_orb_jupiter_mercury,0.004740
463,t_d30_sun_sign,0.004678
464,d4_saturn_sign,0.004628
465,t_d24_venus_sign,0.004626
466,t_house_from_moon_venus,0.004617
467,t_d12_ketu_sign,0.004609
468,t_lon_moon,0.004603
469,d10_ketu_sign,0.004557
470,t_aspect_orb_rahu_venus,0.004549
471,t_d4_rahu_sign,0.004549
472,lon_sun,0.004538
473,t_drishti_jupiter_moon,0.004506
474,t_d4_jupiter_sign,0.004498
475,t_aspect_orb_jupiter_ketu,0.004491
476,d12_mercury_sign,0.004490
477,t_dist_mercury_jupiter,0.004478
478,d4_mercury_sign,0.004473
479,aspect_orb_ketu_venus,0.004461
480,d3_mars_sign,0.004446
481,sav_house_9,0.004399
482,d4_ketu_sign,0.004380
483,t_house_rahu,0.004370
484,first_mercury_antardasha_after_16,0.004364
485,aspect_orb_mars_saturn,0.004328
486,aspect_orb_moon_rahu,0.004328
487,aspect_orb_sun_rahu,0.004293
488,d10_venus_sign,0.004239
489,t_aspect_orb_moon_rahu,0.004238
490,t_tattva_saturn,0.004195
491,d24_jupiter_sign,0.004177
492,nak_pos_mercury,0.004153
493,disp_depth_venus,0.004147
494,d12_saturn_sign,0.004140
495,t_drishti_ketu_mars,0.004140
496,t_dec_sun,0.004134
497,stationary_jupiter,0.004106
498,jerk_jupiter,0.004103
499,t_d3_moon_sign,0.004058
500,d10_sun_deg,0.004007
501,house_pos_rahu,0.003995
502,house_saturn,0.003995
503,dist_venus_ketu,0.003964
504,lagna_degree_in_sign,0.003960
505,t_aspect_orb_moon_saturn,0.003914
506,dec_rahu,0.003914
507,house_from_sun_venus,0.003889
508,t_d7_sun_sign,0.003856
509,t_d24_jupiter_sign,0.003849
510,tithi_angle,0.003838
511,t_d10_ketu_sign,0.003828
512,sav_house_8,0.003818
513,t_d30_moon_sign,0.003817
514,t_d10_jupiter_sign,0.003786
515,t_sav_house_8,0.003779
516,drishti_ketu_saturn,0.003754
517,tattva_ketu,0.003734
518,d3_mercury_sign,0.003730
519,house_mercury,0.003727
520,house_from_moon_rahu,0.003724
521,t_house_from_moon_saturn,0.003701
522,t_lon_mars,0.003697
523,t_dist_sun_ketu,0.003681
524,t_d7_moon_sign,0.003680
525,d12_ketu_sign,0.003655
526,lon_rahu,0.003648
527,house_pos_mercury,0.003634
528,d9_mercury_sign,0.003619
529,aspect_orb_venus_rahu,0.003603
530,t_lon_jupiter,0.003596
531,t_dist_venus_ketu,0.003480
532,dec_mercury,0.003373
533,t_d3_saturn_sign,0.003342
534,t_d4_ketu_sign,0.003249
535,d3_jupiter_sign,0.003241
536,bav_in_sign_jupiter,0.003236
537,aspect_orb_jupiter_saturn,0.003214
538,vel_mars,0.003188
539,t_d9_ketu_sign,0.003172
540,t_jerk_jupiter,0.003159
541,t_dec_saturn,0.003144
542,bav_in_sign_saturn,0.003093
543,house_from_sun_moon,0.003086
544,t_d4_mars_sign,0.003083
545,d30_jupiter_sign,0.003063
546,sav_house_2,0.003050
547,panchanga_vara,0.002978
548,t_aspect_orb_saturn_rahu,0.002922
549,t_d12_mars_sign,0.002888
550,t_sav_house_3,0.002873
551,d10_sun_sign,0.002864
552,t_d9_mercury_sign,0.002758
553,d9_rahu_sign,0.002743
554,t_drishti_rahu_mars,0.002709
555,drishti_ketu_venus,0.002707
556,t_dist_mercury_saturn,0.002701
557,aspect_orb_mars_ketu,0.002669
558,t_d3_mercury_sign,0.002646
559,d30_moon_sign,0.002609
560,t_house_venus,0.002591
561,lon_moon,0.002577
562,t_house_from_moon_rahu,0.002533
563,dec_ketu,0.002475
564,disp_depth_moon,0.002457
565,dist_mercury_saturn,0.002455
566,t_acc_jupiter,0.002431
567,d10_saturn_sign,0.002344
568,drishti_rahu_venus,0.002283
569,t_aspect_orb_venus_rahu,0.002264
570,t_jerk_rahu,0.002262
571,house_rahu,0.002229
572,aspect_orb_saturn_mercury,0.002227
573,dec_sun,0.002194
574,panchanga_yoga,0.002185
575,drishti_rahu_mercury,0.002173
576,t_vel_jupiter,0.002154
577,d7_rahu_sign,0.002135
578,tattva_venus,0.002117
579,house_from_sun_mars,0.002066
580,t_d7_mars_sign,0.002049
581,d10_jupiter_sign,0.002047
582,t_house_from_sun_venus,0.002038
583,t_house_from_sun_jupiter,0.001927
584,d24_rahu_sign,0.001887
585,d3_saturn_sign,0.001848
586,t_dist_moon_ketu,0.001818
587,t_disp_depth_ketu,0.001815
588,sav_house_7,0.001800
589,t_d12_mars_deg,0.001787
590,t_d10_mercury_deg,0.001781
591,disp_depth_rahu,0.001777
592,t_d7_saturn_sign,0.001746
593,t_d2_sun_sign,0.001724
594,d10_mercury_sign,0.001707
595,t_aspect_orb_ketu_mercury,0.001703
596,oob_mars,0.001663
597,d10_moon_sign,0.001592
598,t_aspect_orb_mars_mercury,0.001583
599,aspect_orb_rahu_moon,0.001575
600,d4_mars_sign,0.001570
601,t_dist_venus_saturn,0.001517
602,t_d12_moon_sign,0.001487
603,t_d30_mars_sign,0.001471
604,d12_rahu_sign,0.001441
605,sav_house_5,0.001432
606,t_d4_mercury_sign,0.001390
607,d7_moon_sign,0.001357
608,acc_saturn,0.001311
609,bav_in_sign_mars,0.001294
610,disp_depth_ketu,0.001285
611,d9_mars_sign,0.001234
612,t_house_moon,0.001214
613,house_from_moon_jupiter,0.001202
614,d9_saturn_sign,0.001149
615,disp_depth_jupiter,0.001142
616,aspect_orb_rahu_saturn,0.001141
617,t_house_from_moon_ketu,0.001136
618,drishti_jupiter_ketu,0.001128
619,dasha_start_age_sun,0.001117
620,house_sun,0.001115
621,t_d7_jupiter_sign,0.001092
622,t_dec_mars,0.001069
623,drishti_jupiter_rahu,0.001066
624,t_bav_in_sign_mars,0.001064
625,tattva_jupiter,0.000980
626,d10_jupiter_deg,0.000974
627,lon_mercury,0.000938
628,t_lon_rahu,0.000920
629,t_d9_mars_sign,0.000914
630,t_d30_rahu_sign,0.000866
631,house_from_sun_rahu,0.000852
632,t_d9_jupiter_sign,0.000851
633,d4_sun_sign,0.000850
634,t_house_from_sun_rahu,0.000849
635,t_vel_sun,0.000812
636,t_d12_jupiter_sign,0.000782
637,d24_mars_sign,0.000776
638,t_d10_rahu_sign,0.000772
639,t_house_from_moon_sun,0.000764
640,transit_bav_sun,0.000759
641,house_from_moon_venus,0.000757
642,t_d7_rahu_sign,0.000706
643,t_vel_venus,0.000653
644,nak_pos_rahu,0.000634
645,drishti_jupiter_sun,0.000597
646,d3_ketu_sign,0.000565
647,d12_moon_sign,0.000497
648,d3_sun_sign,0.000482
649,aspect_orb_venus_saturn,0.000473
650,d30_mars_sign,0.000385
651,sav_house_10,0.000371
652,t_panchanga_yoga,0.000356
653,t_house_from_sun_moon,0.000346
654,d3_venus_sign,0.000342
655,d24_sun_sign,0.000306
656,panchanga_tithi,0.000161
657,nak_sun,0.000000
658,nak_moon,0.000000
659,nak_mars,0.000000
660,nak_mercury,0.000000
661,nak_jupiter,0.000000
662,nak_venus,0.000000
663,nak_saturn,0.000000
664,tattva_saturn,0.000000
665,nak_rahu,0.000000
666,nak_ketu,0.000000
667,house_ketu,0.000000
668,dist_sun_saturn,0.000000
669,dist_sun_ketu,0.000000
670,dist_mars_ketu,0.000000
671,dist_mercury_ketu,0.000000
672,dist_jupiter_ketu,0.000000
673,dist_rahu_ketu,0.000000
674,vel_sun,0.000000
675,rx_sun,0.000000
676,stationary_sun,0.000000
677,combust_sun,0.000000
678,oob_sun,0.000000
679,rx_moon,0.000000
680,stationary_moon,0.000000
681,combust_moon,0.000000
682,oob_moon,0.000000
683,rx_mars,0.000000
684,stationary_mars,0.000000
685,combust_mars,0.000000
686,rx_mercury,0.000000
687,stationary_mercury,0.000000
688,combust_mercury,0.000000
689,oob_mercury,0.000000
690,rx_jupiter,0.000000
691,combust_jupiter,0.000000
692,oob_jupiter,0.000000
693,rx_venus,0.000000
694,stationary_venus,0.000000
695,combust_venus,0.000000
696,oob_venus,0.000000
697,rx_saturn,0.000000
698,stationary_saturn,0.000000
