rank,feature,mean_abs_shap
468,d9_mars_deg,0.004431
469,aspect_orb_ketu_sun,0.004417
470,t_acc_sun,0.004415
471,dist_moon_jupiter,0.004370
472,d30_mercury_sign,0.004317
473,t_house_mercury,0.004267
474,t_panchanga_tithi,0.004263
475,dasha_start_age_venus,0.004252
476,t_d10_moon_sign,0.004248
477,d10_mars_sign,0.004202
478,acc_sun,0.004201
479,t_aspect_orb_mars_ketu,0.004197
480,aspect_orb_moon_mars,0.004181
481,nak_pos_mercury,0.004118
482,t_vel_mercury,0.004068
483,tattva_rahu,0.004054
484,transit_bav_sun,0.004049
485,t_panchanga_karana,0.004039
486,d30_venus_sign,0.004019
487,t_tattva_venus,0.003987
488,aspect_orb_rahu_moon,0.003949
489,disp_depth_rahu,0.003931
490,t_disp_depth_mercury,0.003874
491,t_drishti_mars_sun,0.003863
492,dist_mercury_saturn,0.003835
493,d10_mercury_sign,0.003828
494,t_lon_mars,0.003787
495,t_dist_jupiter_venus,0.003775
496,first_moon_antardasha_after_16,0.003757
497,house_mars,0.003752
498,t_d12_jupiter_deg,0.003734
499,dist_jupiter_rahu,0.003689
500,t_acc_mars,0.003674
501,house_from_sun_rahu,0.003643
502,sav_house_10,0.003637
503,t_lat_venus,0.003622
504,t_nak_ketu,0.003621
505,dasha_start_age_ketu,0.003602
506,t_oob_moon,0.003600
507,t_house_mars,0.003586
508,d24_rahu_sign,0.003582
509,d9_jupiter_deg,0.003576
510,t_aspect_orb_sun_moon,0.003570
511,t_dist_mars_saturn,0.003560
512,house_saturn,0.003545
513,disp_depth_venus,0.003541
514,aspect_orb_mars_ketu,0.003485
515,bav_in_sign_saturn,0.003472
516,d9_saturn_deg,0.003454
517,t_d10_venus_sign,0.003417
518,d24_sun_sign,0.003381
519,t_aspect_orb_mars_moon,0.003372
520,t_sav_house_10,0.003337
521,t_aspect_orb_rahu_saturn,0.003282
522,t_dec_sun,0.003261
523,d2_rahu_sign,0.003246
524,t_lon_mercury,0.003169
525,house_from_sun_mars,0.003160
526,t_d3_jupiter_sign,0.003149
527,d24_saturn_sign,0.003124
